resource_uid,source_resource_id,resource_type,tract_id_alias,county_id,annual_heat_demand_gwh,res_temp_deg_c,depth_km,resource_size_mwh,lcoh_dlrs_per_mmbtu,flag
109305,DA059,hydrothermal,10503,2079,3113.524457359997,67.0,0.444,1659696.554,7.240971570425255,0
109318,DA059,hydrothermal,14042,2079,3113.524457359997,67.0,0.245,5323525.512,7.113536603486871,0
109319,DA059,hydrothermal,18173,2079,3113.524457359997,67.0,0.753,3367817.196,7.236267078617852,0
109321,DA059,hydrothermal,37203,2079,3113.524457359997,67.0,0.858,4625281.41,7.243989622261945,0
109322,DA059,hydrothermal,41497,2079,3113.524457359997,67.0,0.792,1605805.232,7.2613126227422615,0
109323,DA059,hydrothermal,47179,2079,3113.524457359997,67.0,0.197,3897358.028,7.148785189451947,0
109438,DA059,hydrothermal,11423,2079,3113.524457359997,67.0,0.932,1635484.51,7.270697641704425,0
109439,DA059,hydrothermal,43045,2079,3113.524457359997,67.0,0.414,3103046.78,7.204040793934158,0
109440,DA059,hydrothermal,44497,2079,3113.524457359997,67.0,0.523,690433.767,7.285585577267939,0
109443,DA059,hydrothermal,8483,2079,3113.524457359997,67.0,0.187,2236880.439,7.199402570369887,0
109444,DA059,hydrothermal,13086,2079,3113.524457359997,67.0,0.169,2206420.125,7.214400915734047,0
109445,DA059,hydrothermal,44593,2079,3113.524457359997,67.0,0.498,1102038.512,7.253422375105407,0
109446,DA059,hydrothermal,52507,2079,3113.524457359997,67.0,1.143,584994.221,7.299626754317219,0
109447,DA059,hydrothermal,59141,2079,3113.524457359997,67.0,0.493,5604697.632,7.159748315267076,0
109454,DA059,hydrothermal,11475,2079,3113.524457359997,67.0,0.226,2418861.285,7.202302930291136,0
109455,DA059,hydrothermal,18457,2079,3113.524457359997,67.0,0.463,1191076.351,7.252130824803331,0
109320,DA065,hydrothermal,29977,2002,87.59639512000003,52.0,0.316,8772268.162,31.873915082546922,0
109450,Z105,hydrothermal,35722,2002,87.59639512000003,90.0,0.733,8055555.556,30.320643666792712,0
109346,ID249,hydrothermal,36644,37,117.36084824000001,57.0,0.893,3888888.889,33.25781442716686,0
109344,Z121,hydrothermal,36644,37,117.36084824000001,100.0,0.893,10277777.778,31.670218305436368,0
109309,DA054,hydrothermal,36644,37,117.36084824000001,68.0,0.234,18684355.976999998,32.42320077410961,0
109337,ID267,hydrothermal,15787,82,89.06721399999998,57.0,0.43,3888888.889,23.81690547389269,0
109335,Z134,hydrothermal,15787,82,89.06721399999998,135.0,0.43,20277777.778,22.477102444018897,0
109341,Z127,hydrothermal,15787,82,89.06721399999998,110.0,0.43,12777777.778,21.929972677015908,0
109339,ID269,hydrothermal,15787,82,89.06721399999998,50.0,0.43,3055555.556,24.32391849393134,0
109332,ID266,hydrothermal,9914,82,89.06721399999998,74.0,0.589,5277777.778,22.91916530499501,0
109357,Z130,hydrothermal,58864,82,89.06721399999998,115.0,0.61,14166666.667,22.124727735176293,0
109336,ID210,hydrothermal,6725,730,216.24930778,57.0,0.521,3888888.889,38.14649009388713,0
109328,ID193,hydrothermal,6725,730,216.24930778,59.0,0.521,3888888.889,38.03910295701766,0
109355,ID224B,hydrothermal,6725,730,216.24930778,55.0,0.521,3611111.111,38.262880375814284,0
109329,ID194,hydrothermal,6725,730,216.24930778,50.0,0.521,3055555.556,38.60429625393104,0
109340,ID215,hydrothermal,6725,730,216.24930778,56.0,0.521,3611111.111,38.20252204215379,0
109333,ID203,hydrothermal,6725,730,216.24930778,55.0,0.521,3611111.111,38.262880375814284,0
109351,Z138,hydrothermal,6725,730,216.24930778,103.0,0.521,8055555.556,37.056022884177295,0
109348,Z118,hydrothermal,6725,730,216.24930778,100.0,0.521,10277777.778,37.099154507296504,0
109345,ID222,hydrothermal,6725,730,216.24930778,68.0,0.521,4722222.222,37.60661769262191,0
109326,Z126,hydrothermal,6725,730,216.24930778,110.0,0.521,12777777.778,36.96784042355115,0
109331,ID202,hydrothermal,6725,730,216.24930778,72.0,0.521,5277777.778,37.486105260740196,0
109342,ID216,hydrothermal,6725,730,216.24930778,50.0,0.521,3055555.556,38.60429625393104,0
109334,ID207,hydrothermal,6725,730,216.24930778,57.0,0.521,3888888.889,38.14649009388713,0
109356,Z107,hydrothermal,6725,730,216.24930778,90.0,0.521,8055555.556,37.246792275726264,0
109350,ID189,hydrothermal,6725,730,216.24930778,58.0,0.521,3888888.889,38.0922112940021,0
109310,DA055,hydrothermal,6725,730,216.24930778,72.0,0.483,25058237.932,37.46706949124214,0
109312,DA055,hydrothermal,14152,730,216.24930778,72.0,0.483,1818410.774,37.46706949124214,0
109359,ID263,hydrothermal,44482,772,145.90947130999996,64.0,0.318,4444444.444,20.266098629546114,0
109349,ID160,hydrothermal,11,772,145.90947130999996,57.0,0.958,3888888.889,20.82874386852286,0
109360,ID071,hydrothermal,47926,2382,17.020220779999992,58.0,0.22,3888888.889,55.668128630820114,0
109363,Z108,hydrothermal,37860,1644,135.93632756999995,90.0,0.368,8055555.556,34.34805822850353,0
109362,ID231,hydrothermal,37860,1644,135.93632756999995,85.0,0.368,6388888.889,34.513767046376834,0
109298,DA062,hydrothermal,37860,1644,135.93632756999995,57.0,0.109,11246515.328,35.515909353395266,0
109551,ID111,hydrothermal,46368,2965,63.59399055000001,55.0,0.849,3611111.111,41.091824130294754,0
109361,DA049,hydrothermal,46368,2965,63.59399055000001,59.0,0.849,2615999.592,40.78047373772484,0
109547,ID107,hydrothermal,30956,2965,63.59399055000001,54.0,0.413,3611111.111,40.74939693026078,0
109549,ID109,hydrothermal,30956,2965,63.59399055000001,61.0,0.413,4166666.667,40.21154557722974,0
109306,DA049,hydrothermal,30956,2965,63.59399055000001,59.0,0.413,1519714.292,40.35671429218283,0
109388,ID021,hydrothermal,68628,530,44.81390607999999,68.0,0.156,4722222.222,25.99755396106423,0
109382,ID028,hydrothermal,68628,530,44.81390607999999,64.0,0.156,4444444.444,26.236333651466918,0
109386,Z125,hydrothermal,68628,530,44.81390607999999,110.0,0.156,12777777.778,26.42644988358886,0
109436,ID481,hydrothermal,68628,530,44.81390607999999,78.0,0.321,5555555.556,25.68406879376303,0
109378,ID027,hydrothermal,65217,2026,183.1341659699999,83.0,0.432,6111111.111,32.4853981161774,0
109380,Z104,hydrothermal,65217,2026,183.1341659699999,90.0,0.432,8055555.556,32.43233802922398,0
109448,DA067,hydrothermal,65217,2026,183.1341659699999,62.0,0.615,1159864.142,33.13873525753595,0
109452,ID457,hydrothermal,65217,2026,183.1341659699999,57.0,0.615,3888888.889,33.41919060835681,0
109453,ID474,hydrothermal,65217,2026,183.1341659699999,67.0,0.615,4722222.222,32.879646728329085,0
109458,DA063,hydrothermal,68440,2026,183.1341659699999,80.0,0.272,6312567.978,32.42677554448738,0
109460,DA066,hydrothermal,68440,2026,183.1341659699999,75.0,0.272,3022456.122,32.478133095872245,0
109461,DA067,hydrothermal,68440,2026,183.1341659699999,62.0,0.272,4499858.064,32.93339447037665,0
109463,ID449,hydrothermal,68440,2026,183.1341659699999,76.0,0.272,5555555.556,32.467695716576046,0
109464,ID452,hydrothermal,68440,2026,183.1341659699999,67.0,0.272,4722222.222,32.67531478734076,0
109465,ID454,hydrothermal,68440,2026,183.1341659699999,84.0,0.272,6111111.111,32.39435550002893,0
109466,ID460,hydrothermal,68440,2026,183.1341659699999,64.0,0.272,4444444.444,32.82810634232722,0
109468,ID462,hydrothermal,68440,2026,183.1341659699999,63.0,0.272,4444444.444,32.88032176743578,0
109469,ID463,hydrothermal,68440,2026,183.1341659699999,79.0,0.272,5833333.333,32.4363244303449,0
109470,ID464,hydrothermal,68440,2026,183.1341659699999,88.0,0.272,6666666.667,32.36445686523288,0
109471,ID465,hydrothermal,68440,2026,183.1341659699999,66.0,0.272,4722222.222,32.725632565950534,0
109476,ID475,hydrothermal,68440,2026,183.1341659699999,50.0,0.272,3055555.556,33.68110301798374,0
109477,Z102,hydrothermal,68440,2026,183.1341659699999,85.0,0.272,7222222.222,32.38691883676804,0
109478,Z113,hydrothermal,68440,2026,183.1341659699999,95.0,0.272,9166666.667,32.31500003977399,0
109479,Z114,hydrothermal,68440,2026,183.1341659699999,95.0,0.272,9166666.667,32.31500003977399,0
109480,Z115,hydrothermal,68440,2026,183.1341659699999,95.0,0.272,9166666.667,32.31500003977399,0
109481,Z117,hydrothermal,68440,2026,183.1341659699999,100.0,0.272,10277777.778,32.282029241971735,0
109482,Z129,hydrothermal,68440,2026,183.1341659699999,115.0,0.272,14166666.667,32.18974657181413,0
109423,ID049,hydrothermal,22874,1266,266.20765262000003,89.0,0.424,6666666.667,24.6949324802143,0
109424,Z122,hydrothermal,22874,1266,266.20765262000003,100.0,0.424,10277777.778,24.486755145678273,0
109422,ID044,hydrothermal,22874,1266,266.20765262000003,86.0,0.424,6388888.889,24.759878546566558,0
109431,ID046,hydrothermal,34468,1266,266.20765262000003,87.0,0.193,6388888.889,24.615453904405094,0
109430,ID045,hydrothermal,34468,1266,266.20765262000003,62.0,0.193,4166666.667,25.147547882564957,0
109434,Z128,hydrothermal,34468,1266,266.20765262000003,110.0,0.193,12777777.778,24.24520505442286,0
109432,ID047,hydrothermal,34468,1266,266.20765262000003,50.0,0.193,3055555.556,25.841086801165417,0
109403,ID385,hydrothermal,64889,1394,80.71286596,58.0,0.204,3888888.889,26.63134995503091,0
109401,ID331,hydrothermal,64889,1394,80.71286596,76.0,0.204,5555555.556,25.684732015234708,0
109405,Z119,hydrothermal,64889,1394,80.71286596,100.0,0.204,10277777.778,24.898411716204844,0
109400,ID300,hydrothermal,64889,1394,80.71286596,77.0,0.204,5555555.556,25.643834579790322,0
109411,ID228,hydrothermal,34189,2778,82.42499684,85.0,0.511,6388888.889,52.3167028116746,0
109412,Z112,hydrothermal,34189,2778,82.42499684,95.0,0.511,9166666.667,51.9831888181675,0
109414,ID225,hydrothermal,34189,2778,82.42499684,72.0,0.511,5277777.778,52.86276317604892,0
109409,Z133,hydrothermal,34189,2778,82.42499684,130.0,0.511,18611111.111,52.514020997338825,0
109410,ID227,hydrothermal,34189,2778,82.42499684,71.0,0.511,5000000.0,52.91167575453237,0
109416,Z140,hydrothermal,34189,2778,82.42499684,99.0,0.511,7500000.0,51.870327587879196,0
109415,ID226,hydrothermal,34189,2778,82.42499684,64.0,0.511,4444444.444,53.27779042253181,0
109413,Z132,hydrothermal,34189,2778,82.42499684,130.0,0.511,18611111.111,52.514020997338825,0
109304,DA062,hydrothermal,3314,1244,219.77240978000003,57.0,0.188,13058368.433999998,23.951477564232654,0
109425,DA062,hydrothermal,45204,1244,219.77240978000003,57.0,0.15,1212859.496,23.935747012742024,0
109317,DA045,hydrothermal,34866,1116,170.32711806999995,60.0,0.136,5981774.688,28.76899765598451,0
109426,DA041,hydrothermal,1746,1116,170.32711806999995,63.0,0.271,34392034.404,28.666670711827592,0
109437,Z135,hydrothermal,39366,1633,155.85707365000007,150.0,0.321,25555555.556,25.769528649374376,0
109487,ID259,hydrothermal,51123,2366,155.54563177000003,73.0,0.581,5277777.778,21.50203003723523,0
109484,ID254,hydrothermal,51123,2366,155.54563177000003,62.0,0.581,4166666.667,21.897854248553713,0
109489,ID262,hydrothermal,51123,2366,155.54563177000003,56.0,0.581,3611111.111,22.17603714805535,0
109486,ID258,hydrothermal,51123,2366,155.54563177000003,50.0,0.581,3055555.556,22.467385394780038,0
109490,Z101,hydrothermal,51123,2366,155.54563177000003,85.0,0.581,7222222.222,21.12008043727798,0
109485,ID256,hydrothermal,51123,2366,155.54563177000003,66.0,0.581,4722222.222,21.746417996608194,0
109496,Z111,hydrothermal,12837,2188,596.8810766899998,95.0,0.678,9166666.667,27.14342556963263,0
109522,DA044,hydrothermal,9399,2188,596.8810766899998,53.0,0.289,15797421.215999998,28.39747052149557,0
109529,Z106,hydrothermal,9595,2244,119.12097192000003,90.0,0.583,8055555.556,20.047027105780163,0
109308,ID067,hydrothermal,24270,2107,854.3299085199998,63.0,0.254,4444444.444,29.808157685932564,0
109516,ID186,hydrothermal,51360,2947,58.00938721,60.0,0.448,4166666.667,36.67011893820402,0
109515,ID182,hydrothermal,51360,2947,58.00938721,58.0,0.448,3888888.889,36.819182922270535,0
109514,ID180,hydrothermal,51360,2947,58.00938721,80.0,0.448,5833333.333,35.616306270355054,0
109505,ID165,hydrothermal,51360,2947,58.00938721,68.0,0.448,4722222.222,36.162886553431164,0
109520,Z120,hydrothermal,51360,2947,58.00938721,100.0,0.448,10277777.778,35.061547977701984,0
109518,ID181,hydrothermal,51360,2947,58.00938721,51.0,0.448,3333333.333,37.3999836152491,0
109507,ID167,hydrothermal,51360,2947,58.00938721,67.0,0.448,4722222.222,36.21724327807414,0
109519,Z116,hydrothermal,51360,2947,58.00938721,95.0,0.448,9166666.667,35.14714074940551,0
109512,ID176,hydrothermal,51360,2947,58.00938721,66.0,0.448,4722222.222,36.27374829588438,0
109521,Z123,hydrothermal,51360,2947,58.00938721,105.0,0.448,11666666.667,35.31639242101905,0
109509,ID171,hydrothermal,51360,2947,58.00938721,75.0,0.448,5555555.556,35.82348457180557,0
109517,ID187,hydrothermal,51360,2947,58.00938721,83.0,0.448,6111111.111,35.50190490839845,0
109511,ID173,hydrothermal,51360,2947,58.00938721,67.0,0.448,4722222.222,36.21724327807414,0
109502,DA066,hydrothermal,51360,2947,58.00938721,75.0,0.448,1934860.726,35.82348457180557,0
109532,ID032,hydrothermal,18738,2942,661.7401245100002,51.0,0.126,3333333.333,34.523809197536465,0
109533,ID036,hydrothermal,18738,2942,661.7401245100002,54.0,0.126,3611111.111,34.3710766818829,0
109491,ID039,hydrothermal,21662,2893,72.26709935999999,58.0,0.309,3888888.889,43.700581883031695,0
109543,ID179,hydrothermal,14322,2950,83.26676789999999,82.0,0.156,6111111.111,84.55441691157283,0
109537,ID058,hydrothermal,14322,2950,83.26676789999999,78.0,0.156,5555555.556,84.70566465377303,0
109540,ID063,hydrothermal,14322,2950,83.26676789999999,54.0,0.156,3611111.111,85.97175771926415,0
109542,Z137,hydrothermal,14322,2950,83.26676789999999,131.0,0.156,10555555.556,84.57293926592854,0
109544,Z109,hydrothermal,14322,2950,83.26676789999999,95.0,0.156,9166666.667,84.13457596216601,0
109534,ID052,hydrothermal,14322,2950,83.26676789999999,54.0,0.156,3611111.111,85.97175771926415,0
109545,Z131,hydrothermal,14322,2950,83.26676789999999,125.0,0.156,17222222.222,84.43082669203788,0
109536,ID056,hydrothermal,14322,2950,83.26676789999999,77.0,0.156,5555555.556,84.74605346216885,0
109538,ID059,hydrothermal,14322,2950,83.26676789999999,64.0,0.156,4444444.444,85.3817322709372,0
109535,ID054,hydrothermal,14322,2950,83.26676789999999,64.0,0.156,4444444.444,85.3817322709372,0
